,name,price_level,rating,types,user_ratings_total,vicinity
0,Rally's,1,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1034,"550 S Walnut St, Bloomington"
1,Taco Bell,1,3.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",765,"309 N Walnut St, Bloomington"
2,Wendy's,1,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",828,"221 W 2nd St, Bloomington"
3,Five Guys,2,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",197,"425 E Kirkwood Ave, Bloomington"
4,Hinkle's Hamburgers,1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",673,"206 S Adams St, Bloomington"
5,Arby's,1,3.9,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",400,"535 S Walnut St, Bloomington"
6,Jimmy John's,1,3.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121,"430 E Kirkwood Ave, Bloomington"
7,Raising Cane's Chicken Fingers,1,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",39,"422 E Kirkwood Ave, Bloomington"
8,QDOBA Mexican Eats,1,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",300,"116 S Indiana Ave Suite 200, Bloomington"
9,Chipotle Mexican Grill,1,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",539,"420 E Kirkwood Ave, Bloomington"
10,Potbelly,1,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",123,"517 E Kirkwood Ave, Bloomington"
